"stn","id_wigos","name","z","lon","lat","x","y","canton","z_baro","from","network","airport","id_wmo","short_name","para_list","para_count"
"ABE","0-756-0-ABE","Aarberg",493,2588051,1209518,7.281425,47.036592,"BE",,1900-01-01,"pp_manual",,,"Aarberg","pp_1d,snow,snow_new",3
"ABG","0-756-0-ABG","L'Abergement",647,2527540,1178771,6.490211,46.756178,"VD",,1931-01-01,"pp_manual",,,"L'Abergement","pp_1d,snow,snow_new",3
"ABO","0-20000-0-06735","Adelboden",1321,2609372,1148939,7.560703,46.491703,"BE",1326,1901-01-01,"smn,atmos,pp_manual",,"06735","Adelboden","tt,rh,pp,pp_1d,snow,snow_new,p_qfe,p_qnh,ff,fx,sun,rad",12
"ABS",,"Abschwung",2824,2656186,1157609,8.171481,46.567394,"VS",,1920-01-01,"pp_manual",,,"Abschwung",,
"AEG","0-20000-0-06676","Oberägeri",724,2688729,1220956,8.608206,47.133636,"ZG",,1993-02-01,"smn",,"06676","Oberägeri","ff,fx",2
"AFI","0-756-0-AFI","Andelfingen",382,2693811,1273070,8.686097,47.601603,"ZH",,1902-01-01,"pp_manual",,,"Andelfingen","pp_1d,snow,snow_new",3
"AFT","0-756-0-AFT","Affeltrangen",541,2718740,1266352,9.015719,47.537156,"TG",,1900-01-01,"pp_manual",,,"Affeltrangen","pp_1d,snow,snow_new",3
"AGATT",,"Attelwil",475,2646308,1235106,8.050519,47.265233,"AG",,2014-07-01,"smn",,,"Attelwil","pp,pp_1d",2
"AGN","0-20000-0-06775","Lugano-Agno",279,2713930,1095404,8.909306,46.000583,"TI",,,"atmos,aero","LUGANO (LSZA)","06775","Lugano-Agno",,
"AGSTE",,"Stetten",355,2665027,1249877,8.299992,47.396503,"AG",,2015-07-01,"smn",,,"Stetten","pp,pp_1d",2
"AGU",,"Aguagliouls",2694,2786231,1141000,9.860278,46.394492,"GR",,1972-01-01,"pp_manual",,,"Aguagliouls",,
"AHH",,"Albert Heim Hütte SAC",2530,2678675,1162460,8.465608,46.608761,"UR",,1943-01-01,"pp_manual",,,"Albert Heim Hütte SAC",,
"AIE",,"Affoltern i. E.",755,2622940,1212500,7.740614,47.063125,"BE",,1864-06-01,"smn,climate",,,"Affoltern i. E.","pp,pp_1d",2
"AIG","0-20000-0-06712","Aigle",381,2560404,1130713,6.924472,46.326647,"VD",382,1981-01-01,"smn,pp_manual,synop",,"06712","Aigle","tt,rh,pp,pp_1d,snow,snow_new,p_qfe,p_qnh,p_qff,dir,fx,sun,rad",13
"AIR","0-756-0-AIR","Airolo",1139,2688910,1153400,8.597444,46.525986,"TI",,1883-11-01,"smn,climate,pp_manual",,,"Airolo","pp,pp_1d,snow,snow_new",4
"ALB",,"Albis",928,2681201,1237590,8.511983,47.284203,"ZH",,,"atmos",,,"Albis",,
"ALE",,"Aletschwald",2075,2644380,1136350,8.015458,46.37705,"VS",,1937-01-01,"pp_manual",,,"Aletschwald",,
"ALH",,"Albula Hospiz",2315,2784081,1161880,9.84065,46.582828,"GR",,1924-01-01,"pp_manual",,,"Albula Hospiz",,
"ALL",,"Allalingletscher",3380,2636729,1098090,7.913019,46.033347,"VS",,1923-01-01,"pp_manual",,,"Allalingletscher",,
"ALM","0-756-0-ALM","Altmatt",920,2695421,1220770,8.696358,47.131031,"SZ",,1973-01-01,"pp_manual",,,"Altmatt","pp_1d,snow,snow_new",3
"ALS",,"Altstätten, SG",430,2759910,1250202,9.556531,47.383225,"SG",,1864-01-01,"smn,climate",,,"Altstätten, SG","pp,pp_1d",2
"ALT","0-20000-0-06672","Altdorf",438,2690181,1193564,8.621894,46.887069,"UR",440,1864-01-01,"smn,climate,atmos,pp_manual,synop",,"06672","Altdorf","tt,rh,pp,pp_1d,snow,snow_new,p_qfe,p_qnh,p_qff,ff,fx,sun,rad",13
"ALV","0-756-0-ALV","Alvaneu Dorf",1162,2768985,1171899,9.647458,46.676908,"GR",,1972-12-01,"pp_manual",,,"Alvaneu Dorf","pp_1d,snow,snow_new",3
