"stn","stn_type","class"
"ABE","pp_1d","pp_1d"
"ABG","pp_1d","pp_1d"
"ABO","weather","weather"
"AEG","weather","weather"
"AFI","pp_1d","pp_1d"
"AFT","pp_1d","pp_1d"
"AGATT","pp","pp"
"AGSTE","pp","pp"
"AIE","pp","pp"
"AIG","weather","weather"
"AIR","pp","pp"
"ALM","pp_1d","pp_1d"
"ALS","pp","pp"
"ALT","weather","weather,clim"
"ALV","pp_1d","pp_1d"
"ALW","pp_1d","pp_1d"
"AMW","pp","pp"
"AND","weather","weather"
"ANT","weather","weather,clim"
"APP","pp","pp"
"APT","pp_1d","pp_1d"
"ARB","pp_1d","pp_1d"
"ARH","airport","airport"
"ARI","pp_1d","pp_1d"
"ARO","weather","weather"
"AST","pp_1d","pp_1d"
"ATT","mountain","mountain"
"AUB","pp","pp"
"AVA","pp","pp"
"AVB","pp_1d","pp_1d"
"AVE","pp_1d","pp_1d"
"BAM","pp_1d","pp_1d"
"BAN","tower","tower,mountain"
"BAS","city","city,clim"
"BAT","pp_1d","pp_1d"
"BAU","pp_1d","pp_1d"
"BAW","pp","pp"
"BEC","pp","pp"
"BEH","weather","weather"
"BEP","pp","pp"
"BER","city","city,clim"
"BEX","pp","pp"
"BEY","pp","pp"
"BEZ","weather","weather"
"BIA","weather","weather"
"BIE","weather","weather"
"BIN","weather","weather"
"BIO","pp_1d","pp_1d"
"BIS","pp_1d","pp_1d"
"BIV","weather","weather"
"BIZ","weather","weather"
"BLA","weather","weather"
"BLS","pp_1d","pp_1d"
"BLU","pp_1d","pp_1d"
"BLZ","pp","pp"
"BMU","pp_1d","pp_1d"
"BNE","pp_1d","pp_1d"
"BNU","pp_1d","pp_1d"
"BOL","weather","weather"
"BOS","pp","pp"
"BOU","weather","weather"
"BOV","pp_1d","pp_1d"
"BOZ","pp_1d","pp_1d"
"BRA","pp_1d","pp_1d"
"BRI","pp","pp"
"BRL","weather","weather"
"BRO","pp_1d","pp_1d"
"BRP","pp","pp"
"BRT","pp","pp"
"BRW","pp","pp"
"BRZ","weather","weather"
"BSG","pp_1d","pp_1d"
"BSP","pp_1d","pp_1d"
"BUC","pp_1d","pp_1d"
"BUD","pp_1d","pp_1d"
"BUE","pp_1d","pp_1d"
"BUF","weather","weather"
"BUS","weather","weather"
"CAC","pp_1d","pp_1d"
"CAV","pp_1d","pp_1d"
"CBS","pp_1d","pp_1d"
"CDF","airport","airport,clim"
"CDM","weather","weather"
"CEV","weather","weather"
"CGI","weather","weather"
"CHA","mountain","mountain"
"CHB","weather","weather"
"CHD","weather","weather,clim"
"CHM","mountain","mountain,clim"
"CHU","weather","weather"
"CHY","pp_1d","pp_1d"
"CHZ","weather","weather"
"CIM","weather","weather"
"CMA","weather","weather"
"CMD","pp_1d","pp_1d"
"CNZ","pp_1d","pp_1d"
"COG","pp_1d","pp_1d"
"COL","pp","pp"
"COM","weather","weather"
"COP","pp_1d","pp_1d"
"COS","pp","pp"
"COU","pp","pp"
"COV","mountain","mountain"
"COY","weather","weather"
"CRM","weather","weather"
"CTA","pp_1d","pp_1d"
"CTO","pp","pp"
"CUE","pp_1d","pp_1d"
"DAV","weather","weather,clim"
"DEH","pp_1d","pp_1d"
"DEM","weather","weather"
"DIA","mountain","mountain"
"DIB","pp_1d","pp_1d"
"DIE","pp_1d","pp_1d"
"DIS","weather","weather"
"DIT","pp","pp"
"DMA","pp_1d","pp_1d"
"DOB","pp","pp"
"DOL","mountain","mountain"
"EBK","weather","weather"
"ECH","pp_1d","pp_1d"
"EFF","pp_1d","pp_1d"
"EGH","mountain","mountain"
"EGL","pp_1d","pp_1d"
"EGO","weather","weather"
"EGR","pp","pp"
"EHM","pp_1d","pp_1d"
"EIN","weather","weather"
"EIT","pp_1d","pp_1d"
"EKO","pp_1d","pp_1d"
"ELM","weather","weather,clim"
"ENG","weather","weather,clim"
"ENT","pp","pp"
"EPT","pp_1d","pp_1d"
"ERB","pp_1d","pp_1d"
"ERI","pp_1d","pp_1d"
"ESZ","pp","pp"
"EUT","pp_1d","pp_1d"
"EVI","weather","weather"
"EVO","weather","weather"
"FAH","weather","weather"
"FAI","pp","pp"
"FIL","pp_1d","pp_1d"
"FIO","pp","pp"
"FIT","pp","pp"
"FLI","pp_1d","pp_1d"
"FLU","weather","weather"
"FLW","pp","pp"
"FRA","pp_1d","pp_1d"
"FRC","pp_1d","pp_1d"
"FRE","weather","weather"
"FRF","pp_1d","pp_1d"
"FRI","pp_1d","pp_1d"
"FRU","weather","weather"
"GAD","pp_1d","pp_1d"
"GEA","pp_1d","pp_1d"
"GEN","mountain","mountain"
"GEP","pp_1d","pp_1d"
"GES","weather","weather"
"GHS","pp_1d","pp_1d"
"GIH","weather","weather"
"GIN","pp_1d","pp_1d"
"GLA","weather","weather"
"GOA","pp","pp"
"GOE","weather","weather"
"GOR","weather","weather"
"GOS","weather","weather"
"GRA","weather","weather"
"GRC","weather","weather,clim"
"GRE","airport","airport"
"GRH","weather","weather,clim"
"GRI","pp_1d","pp_1d"
"GRO","weather","weather"
"GRY","pp_1d","pp_1d"
"GSB","weather","weather,clim"
"GSG","pp","pp"
"GSS","pp_1d","pp_1d"
"GTT","pp","pp"
