"stn","para","lon","lat","z_para","h","h_obj","obj"
"ARO","tt",2771031.02,1184825.54,1880,2,,
"RAG","tt",2756908.09,1209344.65,498,2,,
"HAI","tt",2719100.41,1279046.07,720,2,,
"HLL","tt",2677457.15,1283471.74,421,2,,
"DEM","tt",2593269.41,1244543.47,441,2,,
"EBK","tt",2726347.4,1237170.91,625,2,,
"ELM","tt",2732265.69,1198424.71,960,2,,
"EIN","tt",2699984.27,1221062.38,912,2,,
"ANT","tt",2687442.59,1165037.77,1440,2,,
"MER","tt",2655845.42,1175923.73,590.6,2,,
"CHD","tt",2577039.56,1147648.83,1031,2,,
"GRA","tt",2575181.8,1180076.1,652.6,2,,
"CHM","tt",2565060.25,1211006.92,1138,2,,
"LAG","tt",2628005.36,1198791.98,747,2,,
"KOP","tt",2612662.32,1218664.25,486,2,,
"GRC","tt",2630735.8,1116061.18,1607,2,,
"BLA","tt",2629565.85,1141074.96,1540,2,,
"GRO","tt",2733015.56,1124079.4,325.52,2,,
"BEH","tt",2798423.28,1143019.76,2267,7,,
"SIA","tt",2778576.02,1144976.1,1806,2,,
"SMM","tt",2828861.77,1165573.69,1388.2,2,,
"DAV","tt",2783514.12,1187456.89,1595.93,2,,
"CHU","tt",2759472.02,1193156.19,558.37,2,,
"ROB","tt",2801988.99,1136245.88,1079.92,2,,
"SAM","tt",2787246.01,1155684.47,1710.62,2,,
"SCU","tt",2817134.17,1186393,1306.41,2,,
"DOL","tt",2497062.68,1142370.09,1671.26,2,,
"PAY","tt",2562126.03,1184611.18,491.04,2,,
"JUN","tt",2641912.11,1155283.76,3581.63,10.3,,
"WYN","tt",2626400.66,1233848.7,423.99,2,,
"SAE","tt",2744179.55,1234919.19,2504.18,2.52,,
"VAD","tt",2757718.7,1221696.1,459.18,2,,
"AIG","tt",2560399.5,1130712.96,382.94,2,,
"MLS","tt",2567719.7,1155074,1976.11,2,,
"FAH","tt",2562459.89,1252675.63,598.39,2,,
"MVE","tt",2601704.57,1127485.22,1424.45,2,,
"ZER","tt",2624294.94,1097572.97,1640.66,2,,
"CHA","tt",2570842.53,1220155.09,1595.75,2,,
"PIL","tt",2661909.62,1203410.48,2107.4,2,,
"ALT","tt",2690174.01,1193560.58,439.86,2,,
"ULR","tt",2666740.81,1150763.88,1347.81,2,,
"PIO","tt",2695885.99,1152260.22,991.38,2,,
"LUG","tt",2717859.07,1095840.02,274.56,2,,
"NAP","tt",2638132.57,1206076.11,1406.21,2,,
"SIO","tt",2590481.43,1118457.05,481,2,,
"MAG","tt",2715475.14,1113160.38,205.2,2,,
"NEU","tt",2563072.2,1205551.87,486.1,2,,
"SBO","tt",2716052.35,1077967.37,353.32,2,,
"INT","tt",2633018.81,1169091.44,579.29,2,,
"DIS","tt",2708189.95,1173788.37,1198.71,2,,
"STG","tt",2747860.93,1254585.34,777.6,2,,
"GLA","tt",2723751.8,1210566.94,519.39,2,,
"GVE","tt",2498902.72,1122624.33,412.82,2,,
"KLO","tt",2682706.56,1259335.6,428.23,2,,
"GUE","tt",2690087,1167480,2288.3,2.3,,
"PUY","tt",2540814.74,1151510.19,457.37,2,,
"GSB","tt",2579193.41,1079731.92,2479.24,8.6,,
"ABO","tt",2609371.04,1148942.83,1324.06,2,,
"VIS","tt",2631146.36,1128021.4,641.4,2,,
"CDF","tt",2550914.04,1214861.63,1019.31,2,,
"RUE","tt",2633248.82,1253844.31,613.19,2,,
"BUS","tt",2648389.88,1248365.12,388.87,2,,
"LUZ","tt",2665539.89,1209846.96,456.32,2,,
"ENG","tt",2674156.73,1186066.47,1036.65,2,,
"SHA","tt",2688698.03,1282799.12,440.88,2,,
"SMA","tt",2685117.31,1248061.23,557.75,2,,
"SBE","tt",2734112.06,1147293.3,1640.75,2,,
"WFJ","tt",2780615.72,1189634.31,2693.74,2.5,,
"COV","tt",2783161.28,1143525.29,3297.12,2.81,,
"BAS","tt",2610911.07,1265603.72,318.17,2,,
"CGI","tt",2506872.67,1139573.27,460.2,2,,
"FRE","tt",2534220.26,1188081.32,1207.38,2,,
"BER","tt",2601929.13,1204409.39,554.93,2,,
"GUT","tt",2738421.27,1273959.22,442.09,2,,
"GOE","tt",2640419.55,1245944.71,382.49,2,,
"WAE","tt",2693842.9,1230741.24,487.58,2,,
"TAE","tt",2710514.59,1259819.72,539.93,2,,
"REH","tt",2681428.2,1253545.09,445.39,2,,
"OTL","tt",2704166.01,1114311.34,368.95,2,,
"BEZ","tt",2659809.17,1267693.57,327.51,2,,
"MUB","tt",2587788.79,1202476.86,481.79,2,,
"CIM","tt",2704429.52,1117453.01,1662.72,2,,
"EVO","tt",2605412.88,1106738.27,1828,2.5,,
"LEI","tt",2656379.85,1272111.08,343.01,2,,
"GRH","tt",2668583.3,1158214.72,1987.5,7.5,,
"COM","tt",2714986.99,1146445.89,576.96,2,,
"LAE","tt",2672251.01,1259459.95,872.56,28.01,,
"HOE","tt",2713515.37,1247751.74,1133.82,2,,
"PLF","tt",2586827.13,1177404.21,1044.49,2,,
"ROE","tt",2682587.68,1144090.99,1904,6,,
"PSI","tt",2659356.3,1265381,336,2,,
"BIN","tt",2657995.87,1135421.46,1481,2,,
"MRP","tt",2629148.17,1089519.6,2890.5,5.5,,
"MAR","tt",2567374.27,1107577.3,992,2,,
"MSK","tt",2588150.1,1200125.19,778,72,,
"SAG","tt",2691000.04,1215145.22,792.1,2,,
"CHZ","tt",2677758.87,1226878,444.5,2,,
"STC","tt",2618695.7,1269036.53,725,232,,
"COY","tt",2573621.03,1225603.95,697,2,,
"VEV","tt",2552108.67,1146853.39,407,2,,
"BOU","tt",2555263.5,1138175.39,377,3,,
"TIT","tt",2675400.57,1180399.77,3096,56,50,"Dach"
"FRU","tt",2616773.49,1160883.78,758,2,,
"MOE","tt",2633053.72,1269147.42,346,2,,
"MAH","tt",2533457.71,1176567.6,439,2,,
"CHB","tt",2513820.67,1169387.71,1047,2,,
"MTE","tt",2614323.35,1110735.93,1582,2,,
