"stn","id_wigos","para","from","to","h","x","y","z"
"ABO","0-20000-0-06735","dir",1928-01-01,1966-06-16,10,7.561725,46.493236,1335
"ABO","0-20000-0-06735","dir",1966-06-17,1983-11-23,12,7.557161,46.491531,1355
"ABO","0-20000-0-06735","dir",1983-11-24,1999-08-01,30,7.561069,46.492022,1320
"ABO","0-20000-0-06735","dir",1999-08-01,2000-11-09,30,7.563675,46.491794,1300
"ABO","0-20000-0-06735","dir",2000-11-09,2009-08-24,30,7.558592,46.49,1315
"ABO","0-20000-0-06735","dir",2009-08-24,,31,7.560486,46.492197,1325.6
"ABO","0-20000-0-06735","ff",1928-01-01,1966-06-16,10,7.561725,46.493236,1335
"ABO","0-20000-0-06735","ff",1966-06-17,1983-11-23,12,7.557161,46.491531,1355
"ABO","0-20000-0-06735","ff",1983-11-24,1999-08-01,30,7.561069,46.492022,1320
"ABO","0-20000-0-06735","ff",1999-08-01,2000-11-09,30,7.563675,46.491794,1300
"ABO","0-20000-0-06735","ff",2000-11-09,2009-08-24,30,7.558592,46.49,1315
"ABO","0-20000-0-06735","ff",2009-08-24,,31,7.560486,46.492197,1325.6
"ABO","0-20000-0-06735","fx",1928-01-01,1966-06-16,10,7.561725,46.493236,1335
"ABO","0-20000-0-06735","fx",1966-06-17,1983-11-23,12,7.557161,46.491531,1355
"ABO","0-20000-0-06735","fx",1983-11-24,1999-08-01,30,7.561069,46.492022,1320
"ABO","0-20000-0-06735","fx",1999-08-01,2000-11-09,30,7.563675,46.491794,1300
"ABO","0-20000-0-06735","fx",2000-11-09,2009-08-24,30,7.558592,46.49,1315
"ABO","0-20000-0-06735","fx",2009-08-24,,31,7.560486,46.492197,1325.6
"ABO","0-20000-0-06735","p",1928-01-01,1966-06-16,,7.561725,46.493236,
"ABO","0-20000-0-06735","p",1966-06-17,1983-11-23,6.4,7.557161,46.491531,1361.4
"ABO","0-20000-0-06735","p",1983-11-24,1984-09-23,0,7.561069,46.492022,1320
"ABO","0-20000-0-06735","p",1984-09-24,1999-08-01,5.42,7.561069,46.492022,1325.42
"ABO","0-20000-0-06735","p",1999-08-01,2000-11-09,0,7.563675,46.491794,1300
"ABO","0-20000-0-06735","p",2000-11-09,2009-08-24,0,7.558592,46.49,1315
"ABO","0-20000-0-06735","p",2009-08-24,,4.44,7.560422,46.492261,1326.74
"ABO","0-20000-0-06735","pp",1899-08-01,1917-06-30,1.5,7.559825,46.493272,1348
"ABO","0-20000-0-06735","pp",1917-07-01,1927-12-31,1.5,7.561725,46.493236,1335
"ABO","0-20000-0-06735","pp",1928-01-01,1966-06-16,1.5,7.561725,46.493236,1335
"ABO","0-20000-0-06735","pp",1966-06-17,1983-11-23,1.5,7.557161,46.491531,1355
"ABO","0-20000-0-06735","pp",1983-11-24,1999-08-01,1.5,7.561069,46.492022,1320
"ABO","0-20000-0-06735","pp",1999-08-01,2000-11-09,1.5,7.563675,46.491794,1300
"ABO","0-20000-0-06735","pp",2000-11-09,2009-08-24,1.5,7.558592,46.49,1315
"ABO","0-20000-0-06735","pp",2009-08-24,,1.5,7.560706,46.491703,1321.38
"ABO","0-20000-0-06735","rad",1983-11-24,1999-08-01,22.5,7.561069,46.492022,1320
"ABO","0-20000-0-06735","rad",1983-11-25,1999-08-01,1.44,7.561069,46.492022,1320
"ABO","0-20000-0-06735","rad",1999-08-01,2000-11-09,1.44,7.563675,46.491794,1300
"ABO","0-20000-0-06735","rad",1999-08-01,2000-11-09,22.5,7.563675,46.491794,1300
"ABO","0-20000-0-06735","rad",2000-11-09,2009-08-24,22.5,7.558592,46.49,1315
"ABO","0-20000-0-06735","rad",2000-11-09,2009-08-24,1.44,7.558592,46.49,1315
"ABO","0-20000-0-06735","rad",2009-08-24,,22.44,7.560478,46.492186,1325.6
"ABO","0-20000-0-06735","snow",1928-01-01,1966-06-16,,7.561725,46.493236,1335
"ABO","0-20000-0-06735","snow",1966-06-17,1983-11-23,,7.557161,46.491531,1355
"ABO","0-20000-0-06735","snow",1983-11-24,1999-08-01,,7.574636,46.499428,1195
"ABO","0-20000-0-06735","snow",1999-08-01,2000-11-09,,7.563675,46.491794,1300
"ABO","0-20000-0-06735","snow",2000-11-09,2013-12-31,,7.558592,46.49,1315
"ABO","0-20000-0-06735","snow",2014-01-01,2016-09-12,,7.567861,46.499617,1350
"ABO","0-20000-0-06735","snow",2016-09-13,,,7.560706,46.492042,1325
"ABO","0-20000-0-06735","snow_new",1928-01-01,1966-06-16,,7.561725,46.493236,1335
"ABO","0-20000-0-06735","snow_new",1966-06-17,1983-11-23,,7.557161,46.491531,1355
"ABO","0-20000-0-06735","snow_new",1983-11-24,1999-08-01,,7.574636,46.499428,1195
"ABO","0-20000-0-06735","snow_new",1999-08-01,2000-11-09,,7.563675,46.491794,1300
"ABO","0-20000-0-06735","snow_new",2000-11-09,2013-12-31,,7.558592,46.49,1315
"ABO","0-20000-0-06735","snow_new",2014-01-01,2016-09-12,,7.567861,46.499617,1350
"ABO","0-20000-0-06735","snow_new",2016-09-13,,,7.560706,46.492042,1325
"ABO","0-20000-0-06735","tt",1928-01-01,1966-06-16,2,7.561725,46.493236,1335
"ABO","0-20000-0-06735","tt",1966-06-17,1983-11-23,2,7.557161,46.491531,1355
"ABO","0-20000-0-06735","tt",1983-11-24,1999-08-01,2,7.561069,46.492022,1320
"ABO","0-20000-0-06735","tt",1999-08-01,2000-11-09,2,7.563675,46.491794,1300
"ABO","0-20000-0-06735","tt",2000-11-09,2009-08-24,2,7.558592,46.49,1315
"ABO","0-20000-0-06735","tt",2009-08-24,,2,7.560697,46.491733,1322.06
"AEG","0-20000-0-06676","dir",1992-07-14,2014-03-20,10,8.608083,47.133581,724
"AEG","0-20000-0-06676","dir",2014-03-20,2015-10-09,10,8.608083,47.133581,724
"AEG","0-20000-0-06676","dir",2016-12-08,,10,8.608194,47.133636,724.43
"AEG","0-20000-0-06676","ff",1992-07-14,2014-03-20,10,8.608083,47.133581,724
"AEG","0-20000-0-06676","ff",2014-03-20,2015-10-09,10,8.608083,47.133581,724
"AEG","0-20000-0-06676","ff",2016-12-08,,10,8.608194,47.133636,724.43
"AEG","0-20000-0-06676","fx",1992-07-14,2014-03-20,10,8.608083,47.133581,724
"AEG","0-20000-0-06676","fx",2014-03-20,2015-10-09,10,8.608083,47.133581,724
"AEG","0-20000-0-06676","fx",2016-12-08,,10,8.608194,47.133636,724.43
"AGN","0-20000-0-06775","p",,,,,,
"AIG","0-20000-0-06712","dir",1880-11-01,1890-12-31,10,6.970131,46.317672,405
"AIG","0-20000-0-06712","dir",1981-01-01,2005-09-01,10,6.920792,46.325881,381
"AIG","0-20000-0-06712","dir",2005-09-01,,10,6.924456,46.326694,380.97
"AIG","0-20000-0-06712","ff",1880-11-01,1890-12-31,10,6.970131,46.317672,405
"AIG","0-20000-0-06712","ff",1981-01-01,2005-09-01,10,6.920792,46.325881,381
"AIG","0-20000-0-06712","ff",2005-09-01,,10,6.924456,46.326694,380.97
"AIG","0-20000-0-06712","fx",1880-11-01,1890-12-31,10,6.970131,46.317672,405
"AIG","0-20000-0-06712","fx",1981-01-01,2005-09-01,10,6.920792,46.325881,381
"AIG","0-20000-0-06712","fx",2005-09-01,,10,6.924456,46.326694,380.97
"AIG","0-20000-0-06712","p",1881-07-01,1890-12-31,,6.970131,46.317672,
"AIG","0-20000-0-06712","p",1981-01-01,2005-09-01,1.8,6.920792,46.325881,382.8
"AIG","0-20000-0-06712","p",2005-09-01,,1.37,6.924478,46.326644,382.39
"AIG","0-20000-0-06712","pp",1881-05-01,1890-12-31,1.5,6.970131,46.317672,405
"AIG","0-20000-0-06712","pp",1981-01-01,2005-09-01,1.5,6.920792,46.325881,381
"AIG","0-20000-0-06712","pp",2005-09-01,,1.5,6.924431,46.326622,380.97
"AIG","0-20000-0-06712","rad",1981-01-01,2005-09-01,2,6.920792,46.325881,381
"AIG","0-20000-0-06712","rad",1981-01-01,2005-09-01,2,6.920792,46.325881,381
"AIG","0-20000-0-06712","rad",2005-09-01,,2,6.92445,46.326642,380.94
"AIG","0-20000-0-06712","rad",2005-09-01,2010-11-11,2,6.924411,46.326639,380.94
"AIG","0-20000-0-06712","snow",2005-09-01,,,6.948808,46.299025,386
"AIG","0-20000-0-06712","snow_new",2005-09-01,,,6.948808,46.299025,386
"AIG","0-20000-0-06712","tt",1882-01-01,1890-12-31,2,6.970131,46.317672,405
"AIG","0-20000-0-06712","tt",1981-01-01,2005-09-01,2,6.920792,46.325881,381
"AIG","0-20000-0-06712","tt",2005-09-01,,2,6.924419,46.326639,380.94
"ALT","0-20000-0-06672","dir",1873-01-01,1882-04-30,10,8.641728,46.882511,455
"ALT","0-20000-0-06672","dir",1882-05-01,1892-10-31,10,8.640731,46.88495,480.2
"ALT","0-20000-0-06672","dir",1892-11-01,1901-04-30,10,8.640419,46.882706,451
"ALT","0-20000-0-06672","dir",1901-05-01,1954-12-31,10,8.637706,46.878686,456.3
"ALT","0-20000-0-06672","dir",1955-01-01,1980-12-31,45,8.632281,46.870644,449
"ALT","0-20000-0-06672","dir",1981-01-01,2008-12-08,51,8.631744,46.8702,449
"ALT","0-20000-0-06672","dir",2008-12-08,,10,8.621839,46.887108,438.02
"ALT","0-20000-0-06672","ff",1873-01-01,1882-04-30,10,8.641728,46.882511,455
"ALT","0-20000-0-06672","ff",1882-05-01,1892-10-31,10,8.640731,46.88495,480.2
"ALT","0-20000-0-06672","ff",1892-11-01,1901-04-30,10,8.640419,46.882706,451
"ALT","0-20000-0-06672","ff",1901-05-01,1954-12-31,10,8.637706,46.878686,456.3
"ALT","0-20000-0-06672","ff",1955-01-01,1980-12-31,45,8.632281,46.870644,449
"ALT","0-20000-0-06672","ff",1981-01-01,2008-12-08,51,8.631744,46.8702,449
"ALT","0-20000-0-06672","ff",2008-12-08,,10,8.621839,46.887108,438.02
"ALT","0-20000-0-06672","fx",1873-01-01,1882-04-30,10,8.641728,46.882511,455
"ALT","0-20000-0-06672","fx",1882-05-01,1892-10-31,10,8.640731,46.88495,480.2
"ALT","0-20000-0-06672","fx",1892-11-01,1901-04-30,10,8.640419,46.882706,451
"ALT","0-20000-0-06672","fx",1901-05-01,1954-12-31,10,8.637706,46.878686,456.3
"ALT","0-20000-0-06672","fx",1955-01-01,1980-12-31,45,8.632281,46.870644,449
"ALT","0-20000-0-06672","fx",1981-01-01,2008-12-08,51,8.631744,46.8702,449
"ALT","0-20000-0-06672","fx",2008-12-08,,10,8.621839,46.887108,438.02
"ALT","0-20000-0-06672","p",1873-01-01,1882-04-30,,8.641728,46.882511,
"ALT","0-20000-0-06672","p",1882-05-01,1892-10-31,,8.640731,46.88495,
"ALT","0-20000-0-06672","p",1892-11-01,1901-04-30,,8.640419,46.882706,
"ALT","0-20000-0-06672","p",1901-05-01,1954-12-31,,8.637706,46.878686,
"ALT","0-20000-0-06672","p",1955-01-01,1978-01-12,1.7,8.632281,46.870644,450.7
"ALT","0-20000-0-06672","p",1978-01-13,1980-12-31,1.58,8.632281,46.870644,450.58
"ALT","0-20000-0-06672","p",1981-01-01,1983-12-26,1.58,8.631744,46.8702,450.58
"ALT","0-20000-0-06672","p",1983-12-27,2008-12-08,1.58,8.631744,46.8702,450.58
"ALT","0-20000-0-06672","p",2008-12-08,,1.78,8.621889,46.887075,439.78
"ALT","0-20000-0-06672","pp",1864-05-01,1872-12-31,1.5,8.640025,46.882708,452.5
"ALT","0-20000-0-06672","pp",1873-01-01,1882-04-30,1.5,8.641728,46.882511,455
"ALT","0-20000-0-06672","pp",1882-05-01,1892-10-31,1.5,8.640731,46.88495,480.2
"ALT","0-20000-0-06672","pp",1892-11-01,1901-04-30,1.5,8.640419,46.882706,451
"ALT","0-20000-0-06672","pp",1901-05-01,1954-12-31,1.5,8.637706,46.878686,456.3
"ALT","0-20000-0-06672","pp",1955-01-01,1980-12-31,1.5,8.632281,46.870644,449
"ALT","0-20000-0-06672","pp",1981-01-01,2008-12-08,1.5,8.631744,46.8702,449
"ALT","0-20000-0-06672","pp",2008-12-08,,1.5,8.621806,46.887014,437.87
"ALT","0-20000-0-06672","rad",1981-01-01,2008-12-08,,8.631744,46.8702,449
"ALT","0-20000-0-06672","rad",2008-12-08,,2,8.621786,46.887047,437.86
"ALT","0-20000-0-06672","snow",1873-01-01,1882-04-30,,8.641728,46.882511,455
"ALT","0-20000-0-06672","snow",1882-05-01,1892-10-31,,8.640731,46.88495,480.2
"ALT","0-20000-0-06672","snow",1892-11-01,1901-04-30,,8.640419,46.882706,451
"ALT","0-20000-0-06672","snow",1901-05-01,1954-12-31,,8.637706,46.878686,456.3
"ALT","0-20000-0-06672","snow",1955-01-01,1980-12-31,,8.632281,46.870644,449
"ALT","0-20000-0-06672","snow",1981-01-01,,,8.631744,46.8702,449
